MatchID,RoundID,Country,Year,Winner,Runners.Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,TotalAttendance,Datetime,Stage,Stadium,City,Home.Team.Name,Home.Team.Goals,Away.Team.Goals,Away.Team.Name,Win.conditions,Attendance,Half.time.Home.Goals,Half.time.Away.Goals,Referee,Referee_Country_Initials,Assistant.1,Assistant1_Country_Initials,Assistant.2,Assistante2_Country_Initials,Home.Team.Initials,Away.Team.Initials,Team.Initials,Coach.Name,Coach_Country_Initials,Line.up,Shirt.Number,Player.Name,Position,Event
103,751,,,,,,,,,,,1990-07-01T21:00:00Z,Quarter-finals,San Paolo,Naples ,England,3,2,Cameroon,England win after extra time ,55205,0,0, MENDEZ Edgardo CODESAL,MEX, Vincent MAURO,USA, Jassim MANDI,BHR,ENG,CMR,ENG, Bobby ROBSON,ENG,true,1,Peter SHILTON,GK,
108,322,,,,,,,,,,,1990-06-14T17:00:00Z,Group B,Stadio San Nicola,Bari ,Cameroon,2,1,Romania, ,38687,0,0, ARCE Hernan SILVA,CHI, VALENTE Carlos Alberto SILVA,POR, HOYOS Armando PEREZ,COL,CMR,ROU,CMR, Valeri NEPOMNYASHCHI,RUS,true,16,Thomas NKONO,GK,Y68'
111,,,,,,,,,,,,1990-06-18T21:00:00Z,Group B,Stadio San Nicola,Bari ,Cameroon,0,4,Soviet Union, ,37307,0,2, WRIGHT Jose RAMIZ,BRA, ELIA Pietro D,ITA, Kurt ROETHLISBERGER,SUI,CMR,URS,CMR, Valeri NEPOMNYASHCHI,RUS,true,16,Thomas NKONO,GK,
114,,,,,,,,,,,,1990-06-19T17:00:00Z,Group D,Giuseppe Meazza,Milan ,Germany FR,1,1,Colombia, ,72510,0,0, Alan SNODDY,NIR, Jassim MANDI,BHR, Tullio LANESE,ITA,FRG,COL,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
119,,,,,,,,,,,,1990-06-09T17:00:00Z,Group D,Renato Dall Ara,Bologna ,"rn"">United Arab Emirates",0,2,Colombia, ,30791,0,0, George COURTNEY,ENG, Shizuo TAKADA,JPN, Alan SNODDY,NIR,UAE,COL,UAE, Carlos Alberto PARREIRA,BRA,true,17,MUHSIN MUSABAH,GK,
120,,,,,,,,,,,,1990-06-14T17:00:00Z,Group D,Renato Dall Ara,Bologna ,Yugoslavia,1,0,Colombia, ,32257,0,0, Luigi AGNOLIN,ITA, Neji JOUINI,TUN, Jean Fidele DIRAMBA,GAB,YUG,COL,YUG, Ivica OSIM,BIH,true,1,Tomislav IVKOVIC,GK,
127,,,,,,,,,,,,1990-06-11T17:00:00Z,Group C,Luigi Ferraris,Genoa ,Costa Rica,1,0,Scotland, ,30867,0,0, Juan LOUSTAU,ARG, Carlos MACIEL,PAR, GUERRERO Elias V. JACOME,ECU,CRC,SCO,CRC, Bora MILUTINOVIC,YUG,true,1,Gabelo CONEJO,GK,
128,,,,,,,,,,,,1990-06-20T21:00:00Z,Group C,Luigi Ferraris,Genoa ,Sweden,1,2,Costa Rica, ,30223,1,0, Zoran PETROVIC,SRB, Alan SNODDY,NIR, George COURTNEY,ENG,SWE,CRC,SWE, Olle NORDIN,SWE,true,22,Thomas RAVELLI,GK,
129,323,,,,,,,,,,,1990-06-23T21:00:00Z,Round of 16,Stadio San Nicola,Bari ,Czechoslovakia,4,1,Costa Rica, ,47673,1,0, Siegfried KIRSCHEN,GER, HOYOS Armando PEREZ,COL, ELIA Pietro D,ITA,TCH,CRC,TCH, Jozef VENGLOS,SVK,true,1,Jan STEJSKAL,GK,
150,322,,,,,,,,,,,1990-06-21T21:00:00Z,Group F,Sant Elia,Cagliari ,England,1,0,Egypt, ,34959,0,0, Kurt ROETHLISBERGER,SUI, MORERA Berny ULLOA,CRC, MENDEZ Edgardo CODESAL,MEX,ENG,EGY,ENG, Bobby ROBSON,ENG,true,1,Peter SHILTON,GKC,
